wordID,unitID,wordSeq,wordToken,wordTranscript
1,1,0, ,...
2,1,1,Do,Do
3,1,2,you,you
4,1,3,smell,smell
5,1,4,the,the
6,1,5,dog,dog
7,1,6,on,on
8,1,7,me,me
9,1,8, ,?
10,2,0, ,...
11,2,1,Yeah,Yeah
12,2,2, ,?
13,3,0, ,...
14,3,1,Okay,Okay
15,3,2, ,.
16,4,0,down,down
17,4,1,boy,boy
18,4,2, ,.
19,5,0, ,...
20,5,1,Down,Down
21,5,2,boy,boy
22,5,3, ,.
23,6,0, ,...
24,6,1,Mmkay,Mmkay.
25,6,2, ,-.
26,7,0, ,...
27,7,1,Jamie,~Jamie
28,7,2,wrote,wrote
29,7,3,this,this
30,7,4,out,out
31,7,5, ,","
32,8,0, ,..
33,8,1,in,in
34,8,2,a,a
35,8,3,hurry,hurry
36,8,4,this,this
37,8,5,morning,morning
38,8,6, ,","
39,9,0, ,...
40,9,1,Yeah,Yeah
41,9,2, ,","
42,10,0,she,she
43,10,1,said,said
44,10,2,she,she
45,10,3,thought,thought
46,10,4,she,she
47,10,5,had,had
48,10,6, ,","
49,11,0, ,..
50,11,1,gotten,gotten
51,11,2,a,a
52,11,3,brand,brand
53,11,4,inspection,inspection
54,11,5,done,done
55,11,6, ,","
56,12,0,since,since
57,12,1,she,she
58,12,2,got,got
59,12,3,to,to
60,12,4,Colorado,Colorado
61,12,5, ,?
62,13,0, ,...
63,13,1,But,But
64,13,2,then,then
65,13,3,she,she
66,13,4,said,said
67,13,5,she,she
68,13,6,didn't,didn't
69,13,7,know,know
70,13,8,where,where
71,13,9,it,it
72,13,10,was,was
73,13,11,and,and
74,13,12, ,","
75,14,0,that's,[that's
76,14,1,what,|what
77,14,2,he,|he
78,14,3,wanted,|wanted
79,14,4,to,|to
80,14,5,know,|know]
81,14,6, ,.
82,15,0,I've,[I've
83,15,1,never,|never
84,15,2,heard,|heard
85,15,3,of,|of
86,15,4,it,|it
87,15,5, ,.
88,16,0,So,|So]
89,16,1, ,","
90,17,0, ,...
91,17,1,P,P-
92,17,2,he,he
93,17,3, ,..
94,17,4, ,--
95,18,0,That's,That's
96,18,1,what,what
97,18,2,I,I
98,18,3,need,need
99,18,4,to,to
100,18,5,know,know
101,18,6, ,","
102,19,0,he,he
103,19,1,said,said
104,19,2,if,if
105,19,3,there,there
106,19,4,was,was
107,19,5,a,a
108,19,6,prior,prior
109,19,7,brand,brand
110,19,8,inspection,inspection
111,19,9, ,","
112,20,0,then,then
113,20,1,he,[he
114,20,2,would,|would
115,20,3,have,|have
116,20,4,to,|to
117,20,5,go,|go]
118,20,6,off,off
119,20,7,of,of
120,20,8,that,that
121,20,9,one,one
122,20,10, ,.
123,21,0,Trash,[#Trash:]
124,21,1, ,--
125,22,0,If,If
126,22,1,there,there
127,22,2,was,was
128,22,3,no,no
129,22,4,prior,prior
130,22,5,brand,brand
131,22,6,inspection,[2inspection
132,22,7, ,","
133,23,0, ,[2]
134,24,0, ,|2
135,24,1,then,|2then
136,24,2,he,|2he
137,24,3,could,|2could
138,24,4,just,|2just
139,24,5,go,|2go
140,24,6,off,|2off
141,24,7,of,|2of
142,24,8,this,|2this2]
143,24,9, ,","
144,25,0,and,and
145,25,1,issue,issue
146,25,2,me,me
147,25,3,a,a
148,25,4,new,new
149,25,5,one,one
150,25,6, ,.
151,26,0, ,..
152,26,1,If,If
153,26,2, ,--
154,27,0,Is,Is
155,27,1,there,there
156,27,2,a,a
157,27,3,brand,brand
158,27,4,inspection,inspection
159,27,5, ,","
160,28,0,if,if
161,28,1,we,we
162,28,2,bring,bring
163,28,3,one,one
164,28,4,in,in
165,28,5,from,from
166,28,6,out,out
167,28,7,of,of
168,28,8,state,state
169,28,9, ,?
170,29,0,Well,Well
171,29,1, ,","
172,30,0,she,she
173,30,1,said,said
174,30,2,since,since
175,30,3,it,it
176,30,4,was,was
177,30,5,not,not
178,30,6,required,required
179,30,7,in,in
180,30,8,California,California
181,30,9,when,when
182,30,10,she,she
183,30,11,bought,bought
184,30,12,the,the
185,30,13,pony,pony
186,30,14, ,","
187,31,0,which,which
188,31,1,it,it
189,31,2,is,is
190,31,3,now,now
191,31,4, ,","
192,32,0,they,they
193,32,1,reinstated,reinstated
194,32,2,it,it
195,32,3,about,about
196,32,4,a,a
197,32,5,year,year
198,32,6,ago,ag[o
199,32,7, ,.
200,33,0,Oh,[Oh]
201,33,1, ,.
202,34,0, ,|]
203,34,1,She,She
204,34,2, ,--
205,35,0,I,I
206,35,1,thought,thought
207,35,2,she,she
208,35,3,said,said
209,35,4,she,she
210,35,5,had,had
211,35,6,had,had
212,35,7,one,one
213,35,8,done,done
214,35,9,here,here
215,35,10, ,.
216,36,0, ,...
217,36,1,Oh,Oh
218,36,2, ,.
219,37,0, ,..
220,37,1,But,But
221,37,2, ,","
222,38,0, ,..
223,38,1,if,[if
224,38,2,she,|she
225,38,3,didn't,|didn't]
226,38,4, ,","
227,39,0, ,[
228,39,1,I,|I
229,39,2,wouldn't,|wouldn't
230,39,3,know,|know]
231,39,4, ,.
232,40,0,you,[2you
233,40,1,know,|2know
234,40,2, ,","
235,41,0,I,[2I
236,41,1,don't,|2don't
237,41,2,do,|2do
238,41,3,any,|2any
239,41,4,horse,|2horse
240,41,5,things,|2things]
241,41,6, ,.
242,42,0,I,|2I
243,42,1,just,|2just
244,42,2,need,|2need
245,42,3, ,--
246,43,0,All,|2All
247,43,1,I,|2I
248,43,2,need,|2need
249,43,3,to,|2to
250,43,4,know,|2kn2]ow
251,43,5,is,is
252,43,6, ,","
253,44,0,if,if
254,44,1,she,she
255,44,2,ever,ever
256,44,3,had,had
257,44,4,one,one
258,44,5,done,done
259,44,6, ,","
260,45,0, ,..
261,45,1,or,or
262,45,2,if,if
263,45,3,she,she
264,45,4,didn't,didn't
265,45,5, ,.
266,46,0,He,He
267,46,1,said,said
268,46,2, ,","
269,47,0,if,if
270,47,1,she,she
271,47,2,didn't,didn't
272,47,3,have,have
273,47,4,one,one
274,47,5,done,done
275,47,6, ,","
276,48,0,sh,sh-
277,48,1,he'll,he'll
278,48,2,just,just
279,48,3,go,go:
280,48,4, ,..
281,48,5,off,off
282,48,6,the,the
283,48,7,papers,papers
284,48,8, ,.
285,49,0,Yeah,[Yeah]
286,49,1, ,.
287,50,0, ,[]
288,50,1,And,And
289,50,2,this,this
290,50,3, ,.
291,51,0, ,...
292,51,1,These,These
293,51,2,papers,papers
294,51,3,here,here
295,51,4, ,?
296,52,0, ,..
297,52,1,Unhunh,Unhu[nh]
298,52,2, ,.
299,53,0,Okay,[O]kay
300,53,1, ,.
301,54,0, ,...
302,54,1,And,And
303,54,2,I,I
304,54,3,sent,sent
305,54,4,in,in
306,54,5,the,the
307,54,6,Arab,#Arab
308,54,7,papers,papers
309,54,8,to,to
310,54,9,be,be
311,54,10, ,","
312,55,0, ,...
313,55,1,uh,uh
314,55,2, ,","
315,56,0,transferred,transferred
316,56,1,to,to
317,56,2,my,my
318,56,3,name,name
319,56,4, ,.
320,57,0,They,They
321,57,1,haven't,haven't
322,57,2,been,been
323,57,3, ,@
324,57,4,transferred,transferred
325,57,5, ,","
326,58,0,since,since
327,58,1,nineteenseventyseven,@nineteenseventyseven.
328,58,2, ,--.
329,59,0, ,:
330,59,1,I,I
331,59,2,don't,don't
332,59,3,know,know
333,59,4,how,how
334,59,5,many,many
335,59,6,owners,owners
336,59,7,she's,she's
337,59,8,had,had
338,59,9, ,.
339,60,0,But,But
340,60,1,it,it
341,60,2,hasn't,hasn't
342,60,3, ,--
343,61,0, ,...
344,61,1,Wow,Wow
345,61,2, ,.
346,62,0, ,...
347,62,1,You,You
348,62,2,don't,don't
349,62,3,remember,remember
350,62,4,the,the
351,62,5,name,name
352,62,6,of,of
353,62,7,the,the
354,62,8,people,people
355,62,9,you,you
356,62,10,bought,bought
357,62,11,her,her
358,62,12,from,from
359,62,13, ,.
360,63,0,Do,Do
361,63,1,you,you
362,63,2, ,?
363,64,0, ,...
364,64,1,No,No
365,64,2, ,","
366,65,0,but,but
367,65,1,then,then
368,65,2,that's,that's
369,65,3,not,not
370,65,4, ,...
371,65,5,unusual,un[usual
372,65,6, ,","
373,66,0,Yeah,[Yeah
374,66,1, ,.
375,67,0,cause,|cause
376,67,1,I,|I]
377,67,2, ,--
378,68,0,You,|You
379,68,1,don't,|don't]
380,68,2,ride,ride
381,68,3,do,do
382,68,4,you,you
383,68,5, ,.
384,69,0,I,I
385,69,1,don't,don't
386,69,2,ride,ride
387,69,3, ,","
388,70,0,and,and
389,70,1,I'm,I'm
390,70,2,not,not
391,70,3,involved,involved
392,70,4, ,","
393,71,0,the,the
394,71,1,only,only
395,71,2,thing,thing
396,71,3,I,I
397,71,4,do,do
398,71,5,is,is
399,71,6, ,","
400,72,0,um,um
401,72,1, ,","
402,73,0,Pay,Pay
403,73,1,the,the
404,73,2,bills,bills
405,73,3, ,.
406,74,0, ,..
407,74,1,I'm,I'm
408,74,2, ,--
409,75,0,No,No
410,75,1, ,.
