wordID,wID,uID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList","inBoxList",aligned,void,stretch,replaceWord
1,0,1,0,0,170.00,0,...,"{}","{}",1,0,0, 
2,0,1,1,1,270.00,0,Am,"{}","{}",1,0,0, 
3,0,1,2,2,370.00,0,I,"{}","{}",1,0,0, 
4,0,1,3,3,470.00,0,doing,"{}","{}",1,0,0, 
5,0,1,4,4,570.00,0,that,"{}","{}",1,0,0, 
6,0,1,5,5,670.00,0,right,"{}","{}",1,0,0, 
7,0,1,6,6,770.00,0,so,"{}","{}",1,0,0, 
8,0,1,7,7,870.00,0,far,"{}","{}",1,0,0, 
9,0,1,8,8,970.00,0,?,"{}","{}",1,0,0, 
10,0,2,0,0,170.00,0,...,"{}","{}",1,0,0, 
11,0,2,1,1,270.00,0,Mhm,"{}","{}",1,0,0, 
12,0,2,2,2,370.00,0,.,"{}","{}",1,0,0, 
13,0,3,0,0,170.00,0,...,"{}","{}",1,0,0, 
14,0,3,1,1,270.00,0,All,"{}","{}",1,0,0, 
15,0,3,2,2,370.00,0,the,"{}","{}",1,0,0, 
16,0,3,3,3,470.00,0,way,"{}","{}",1,0,0, 
17,0,3,4,4,570.00,0,down,"{}","{}",1,0,0, 
18,0,3,5,5,670.00,0,to,"{}","{}",1,0,0, 
19,0,3,6,6,770.00,0,that,"{}","{}",1,0,0, 
20,0,3,7,7,870.00,0,?,"{}","{}",1,0,0, 
21,0,4,0,0,170.00,0,...,"{}","{}",1,0,0, 
22,0,4,1,1,270.00,0,Mhm,"{}","{}",1,0,0, 
23,0,4,2,2,370.00,0,.,"{}","{}",1,0,0, 
24,0,5,0,0,170.00,0,...,"{}","{}",1,0,0, 
25,0,5,1,1,270.00,0,I,"{}","{}",1,0,0, 
26,0,5,2,2,370.00,0,think,"{}","{}",1,0,0, 
27,0,5,3,3,470.00,0,.,"{}","{}",1,0,0, 
28,0,6,0,0,170.00,0,...,"{}","{}",1,0,0, 
29,0,6,1,1,270.00,0,I,"{}","{}",1,0,0, 
30,0,6,2,2,370.00,0,don't,"{}","{}",1,0,0, 
31,0,6,3,3,470.00,0,think,"{}","{}",1,0,0, 
32,0,6,4,4,570.00,0,I,"{}","{}",1,0,0, 
33,0,6,5,5,670.00,0,am,"{}","{}",1,0,0, 
34,0,6,6,6,770.00,0,.,"{}","{}",1,0,0, 
35,0,7,0,0,170.00,0,Do,"{}","{}",1,0,0, 
36,0,7,1,1,270.00,0,you,"{}","{}",1,0,0, 
37,0,7,2,2,370.00,0,?,"{}","{}",1,0,0, 
38,0,8,0,0,170.00,0,...,"{}","{}",1,0,0, 
39,0,8,1,1,270.00,0,And,"{}","{}",1,0,0, 
40,0,8,2,2,370.00,0,you'd,"{}","{}",1,0,0, 
41,0,8,3,3,470.00,0,have,"{}","{}",1,0,0, 
42,0,8,4,4,570.00,0,to,"{}","{}",1,0,0, 
43,0,8,5,5,670.00,0,have,"{}","{}",1,0,0, 
44,0,8,6,6,770.00,0,that,"{}","{}",1,0,0, 
45,0,8,7,7,870.00,0,plus,"{}","{}",1,0,0, 
46,0,8,8,8,970.00,0,or,"{}","{}",1,0,0, 
47,0,8,9,9,1070.00,0,minus,"{}","{}",1,0,0, 
48,0,8,10,10,1170.00,0,.,"{}","{}",1,0,0, 
49,0,9,0,0,170.00,0,@@@@@,"{}","{}",1,0,0, 
50,0,10,0,0,170.00,0,[What],"{}","{}",1,0,0, 
51,0,10,1,1,270.00,0,.,"{}","{}",1,0,0, 
52,0,11,0,0,170.00,0,[I],"{}","{}",1,0,0, 
53,0,11,1,1,270.00,0,don't,"{}","{}",1,0,0, 
54,0,11,2,2,370.00,0,know,"{}","{}",1,0,0, 
55,0,11,3,3,470.00,0,what,"{}","{}",1,0,0, 
56,0,11,4,4,570.00,0,I,"{}","{}",1,0,0, 
57,0,11,5,5,670.00,0,did,"{}","{}",1,0,0, 
58,0,11,6,6,770.00,0,to,"{}","{}",1,0,0, 
59,0,11,7,7,870.00,0,ge:t,"{}","{}",1,0,0, 
60,0,11,8,8,970.00,0,that,"{}","{}",1,0,0, 
61,0,11,9,9,1070.00,0,.,"{}","{}",1,0,0, 
62,0,12,0,0,170.00,0,..,"{}","{}",1,0,0, 
63,0,12,1,1,270.00,0,Where,"{}","{}",1,0,0, 
64,0,12,2,2,370.00,0,did,"{}","{}",1,0,0, 
65,0,12,3,3,470.00,0,I,"{}","{}",1,0,0, 
66,0,12,4,4,570.00,0,get,"{}","{}",1,0,0, 
67,0,12,5,5,670.00,0,that,"{}","{}",1,0,0, 
68,0,12,6,6,770.00,0,..,"{}","{}",1,0,0, 
69,0,12,7,7,870.00,0,square,"{}","{}",1,0,0, 
70,0,12,8,8,970.00,0,root,"{}","{}",1,0,0, 
71,0,12,9,9,1070.00,0,of-,"{}","{}",1,0,0, 
72,0,12,10,10,1170.00,0,--,"{}","{}",1,0,0, 
73,0,13,0,0,170.00,0,um:,"{}","{}",1,0,0, 
74,0,13,1,1,270.00,0,",","{}","{}",1,0,0, 
75,0,14,0,0,170.00,0,...,"{}","{}",1,0,0, 
76,0,14,1,1,270.00,0,ex,"{}","{}",1,0,0, 
77,0,14,2,2,370.00,0,squa[red],"{}","{}",1,0,0, 
78,0,14,3,3,470.00,0,.,"{}","{}",1,0,0, 
79,0,15,0,0,170.00,0,[Because],"{}","{}",1,0,0, 
80,0,15,1,1,270.00,0,you,"{}","{}",1,0,0, 
81,0,15,2,2,370.00,0,brought,"{}","{}",1,0,0, 
82,0,15,3,3,470.00,0,this,"{}","{}",1,0,0, 
83,0,15,4,4,570.00,0,..,"{}","{}",1,0,0, 
84,0,15,5,5,670.00,0,over,"{}","{}",1,0,0, 
85,0,15,6,6,770.00,0,here,"{}","{}",1,0,0, 
86,0,15,7,7,870.00,0,.,"{}","{}",1,0,0, 
87,0,16,0,0,170.00,0,...,"{}","{}",1,0,0, 
88,0,16,1,1,270.00,0,You,"{}","{}",1,0,0, 
89,0,16,2,2,370.00,0,brought,"{}","{}",1,0,0, 
90,0,16,3,3,470.00,0,...,"{}","{}",1,0,0, 
91,0,16,4,4,570.00,0,three,"{}","{}",1,0,0, 
92,0,16,5,5,670.00,0,over,"{}","{}",1,0,0, 
