displayRow,discoID,unitID,uID,pixelY,lineState,"wordIDList",alignedWordID,unitStart,unitEnd,voidMax,voidSum,pixelYOriginal
0,sbc009,390,390,466.50,0,"{1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961}",0,0,0,0,0,0
1,sbc009,391,391,499.90,0,"{1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971}",0,0,0,0,0,33.40
2,sbc009,392,392,533.30,0,"{1972, 1973, 1974, 1975, 1976, 1977}",0,0,0,0,0,66.80
3,sbc009,393,393,566.70,0,"{1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987}",0,0,0,0,0,100.20
4,sbc009,394,394,600.10,0,"{1988, 1989, 1990, 1991, 1992, 1993, 1994}",0,0,0,0,0,133.60
5,sbc009,395,395,633.50,0,"{1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005}",0,0,0,0,0,167
6,sbc009,396,396,666.90,0,"{2006, 2007, 2008, 2009}",0,0,0,0,0,200.40
7,sbc009,397,397,700.30,0,"{2010}",0,0,0,0,0,233.80
8,sbc009,398,398,733.70,0,"{2011, 2012, 2013}",0,0,0,0,0,267.20
9,sbc009,399,399,767.10,0,"{2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022}",0,0,0,0,0,300.60
