displayRow,discoID,unitID,uID,pixelY,lineState,"wordIDList",alignedWordID,unitStart,unitEnd,voidMax,voidSum,pixelYOriginal
0,sbc009,369,369,166,0,"{1862, 1863, 1864, 1865, 1866, 1867, 1868}",1862,704.87,706.05,0,0,0
1,sbc009,370,370,199.40,0,"{1869, 1870}",1869,705.23,705.50,0,0,33.40
2,sbc009,371,371,232.80,0,"{1871, 1872, 1873, 1874}",1871,706.05,706.35,0,0,66.80
3,sbc009,372,372,266.20,0,"{1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882}",1875,706.35,707.70,0,0,100.20
4,sbc009,373,373,299.60,0,"{1883, 1884, 1885}",1883,707.45,708.45,0,0,133.60
5,sbc009,374,374,333,0,"{1886, 1887, 1888, 1889, 1890, 1891, 1892, 1893, 1894}",1886,708.45,710.15,0,0,167
6,sbc009,375,375,366.40,0,"{1895, 1896, 1897, 1898, 1899, 1900, 1901}",1895,710.15,711.80,0,0,200.40
7,sbc009,376,376,399.80,0,"{1902, 1903, 1904}",1902,710.35,710.85,0,0,233.80
8,sbc009,377,377,433.20,0,"{1905, 1906}",1905,711.15,711.60,0,0,267.20
9,sbc009,378,378,466.60,0,"{1907, 1908, 1909, 1910, 1911, 1912, 1913}",1907,711.80,713.30,0,0,300.60
10,sbc009,379,379,500,0,"{1914, 1915, 1916}",1914,712.15,712.50,0,0,334
11,sbc009,380,380,533.40,0,"{1917, 1918, 1919, 1920, 1921, 1922}",1917,713,713.85,0,0,367.40
12,sbc009,381,381,566.80,0,"{1923, 1924, 1925}",1923,713.85,714.60,0,0,400.80
13,sbc009,382,382,600.20,0,"{1926, 1927, 1928}",1926,714.60,715.05,0,0,434.20
14,sbc009,383,383,633.60,0,"{1929}",1929,715.05,717.68,0,0,467.60
15,sbc009,384,384,667,0,"{1930, 1931, 1932, 1933, 1934, 1935}",1930,717.68,719.98,0,0,501
16,sbc009,385,385,700.40,0,"{1936, 1937, 1938, 1939, 1940}",1936,719.98,720.88,0,0,534.40
17,sbc009,386,386,733.80,0,"{1941, 1942, 1943}",1941,720.88,721.63,0,0,567.80
18,sbc009,387,387,767.20,0,"{1944, 1945}",1944,721.32,721.63,0,0,601.20
19,sbc009,388,388,800.60,0,"{1946, 1947, 1948, 1949, 1950}",1946,721.63,729.79,0,0,634.60
20,sbc009,389,389,834,0,"{1951, 1952, 1953}",1951,729.79,731.29,0,0,668
21,sbc009,390,390,867.40,0,"{1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961}",1954,731.29,732.89,0,0,701.40
22,sbc009,391,391,900.80,0,"{1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971}",1962,732.89,733.94,0,0,734.80
23,sbc009,392,392,934.20,0,"{1972, 1973, 1974, 1975, 1976, 1977}",1972,733.94,736.04,0,0,768.20
24,sbc009,393,393,967.60,0,"{1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987}",1978,736.04,738.94,0,0,801.60
25,sbc009,394,394,1001,0,"{1988, 1989, 1990, 1991, 1992, 1993, 1994}",1988,738.94,739.94,0,0,835
26,sbc009,395,395,1034.40,0,"{1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005}",1995,739.94,742.44,0,0,868.40
27,sbc009,396,396,1067.80,0,"{2006, 2007, 2008, 2009}",2006,742.44,744.11,0,0,901.80
28,sbc009,397,397,1101.20,0,"{2010}",2010,743.11,743.71,0,0,935.20
29,sbc009,398,398,1134.60,0,"{2011, 2012, 2013}",2011,743.71,744.11,0,0,968.60
30,sbc009,399,399,1168,0,"{2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022}",2014,744.11,745.71,0,0,1002
