tier,chainID,linkID,source,goal,focus,dead,tilt,sourceClickTime,sourceGoalTime
3,1,1,384,385,0,0,0,322.43,323.54
3,1,2,385,-1,0,0,0,323.54,-1
3,2,3,382,383,0,0,0,358.46,361.83
3,2,4,383,386,0,0,0,361.83,361.83
3,2,5,386,387,0,0,0,361.83,361.83
3,2,6,387,388,0,0,0,361.83,361.83
3,2,7,388,389,0,0,0,361.83,361.83
3,2,8,389,-1,0,0,0,361.83,-1
3,3,9,369,370,0,0,0,370.32,372.67
3,3,10,370,371,0,0,0,372.67,372.67
3,3,11,371,372,0,0,0,372.67,372.67
3,3,12,372,373,0,0,0,372.67,372.67
3,3,13,373,374,0,0,0,372.67,372.67
3,3,14,374,375,0,0,0,372.67,372.67
3,3,15,375,376,0,0,0,372.67,372.67
3,3,16,376,377,0,0,0,372.67,372.68
3,3,17,377,378,0,0,0,372.68,372.68
3,3,18,378,379,0,0,0,372.68,372.68
3,3,19,379,380,0,0,0,372.68,372.68
3,3,20,380,-1,0,0,0,372.68,-1
3,4,21,390,391,0,0,0,376.21,377.79
3,4,22,391,392,0,0,0,377.79,377.79
3,4,23,392,393,0,0,0,377.79,377.79
3,4,24,393,394,0,0,0,377.79,377.79
3,4,25,394,395,0,0,0,377.79,377.79
3,4,26,395,396,0,0,0,377.79,377.79
3,4,27,396,397,0,0,0,377.79,377.79
3,4,28,397,398,0,0,0,377.79,377.79
3,4,29,398,399,0,0,0,377.79,377.79
3,4,30,399,-1,0,0,0,377.79,-1
