wordID,wID,unitID,uID,wordSeq,wordToken,wordTranscript
1,0,1,1,0, ,...
2,0,1,1,1,Am,Am
3,0,1,1,2,I,I
4,0,1,1,3,doing,doing
5,0,1,1,4,that,that
6,0,1,1,5,right,right
7,0,1,1,6,so,so
8,0,1,1,7,far,far
9,0,1,1,8, ,?
10,0,2,2,0, ,...
11,0,2,2,1,Mhm,Mhm
12,0,2,2,2, ,.
13,0,3,3,0, ,...
14,0,3,3,1,All,All
15,0,3,3,2,the,the
16,0,3,3,3,way,way
17,0,3,3,4,down,down
18,0,3,3,5,to,to
19,0,3,3,6,that,that
20,0,3,3,7, ,?
21,0,4,4,0, ,...
22,0,4,4,1,Mhm,Mhm
23,0,4,4,2, ,.
24,0,5,5,0, ,...
25,0,5,5,1,I,I
26,0,5,5,2,think,think
27,0,5,5,3, ,.
28,0,6,6,0, ,...
29,0,6,6,1,I,I
30,0,6,6,2,don't,don't
31,0,6,6,3,think,think
32,0,6,6,4,I,I
33,0,6,6,5,am,am
34,0,6,6,6, ,.
35,0,7,7,0,Do,Do
36,0,7,7,1,you,you
37,0,7,7,2, ,?
38,0,8,8,0, ,...
39,0,8,8,1,And,And
40,0,8,8,2,you'd,you'd
41,0,8,8,3,have,have
42,0,8,8,4,to,to
43,0,8,8,5,have,have
44,0,8,8,6,that,that
45,0,8,8,7,plus,plus
46,0,8,8,8,or,or
47,0,8,8,9,minus,minus
48,0,8,8,10, ,.
49,0,9,9,0, ,@@@@@
50,0,10,10,0,What,[What]
51,0,10,10,1, ,.
52,0,11,11,0,I,[I]
53,0,11,11,1,don't,don't
54,0,11,11,2,know,know
55,0,11,11,3,what,what
56,0,11,11,4,I,I
57,0,11,11,5,did,did
58,0,11,11,6,to,to
59,0,11,11,7,get,ge:t
60,0,11,11,8,that,that
61,0,11,11,9, ,.
62,0,12,12,0, ,..
63,0,12,12,1,Where,Where
64,0,12,12,2,did,did
65,0,12,12,3,I,I
66,0,12,12,4,get,get
67,0,12,12,5,that,that
68,0,12,12,6, ,..
69,0,12,12,7,square,square
70,0,12,12,8,root,root
71,0,12,12,9,of,of-
72,0,12,12,10, ,--
73,0,13,13,0,um,um:
74,0,13,13,1, ,","
75,0,14,14,0, ,...
76,0,14,14,1,ex,ex
77,0,14,14,2,squared,squa[red]
78,0,14,14,3, ,.
79,0,15,15,0,Because,[Because]
80,0,15,15,1,you,you
81,0,15,15,2,brought,brought
