_Rez_Discourse#,_Rez_DiscoID,DiscourseID,Title,LDCpart,AlphaOrder,LineCount,WordCount,TokenCount,SpeakerCount,SpeakerPercentMax,MediaFileOriginal,_Rez_MediaFile,TapeID,Genre,Description
1,SBC001,SBC001,Actual Blacksmithing,1,1,,,,,,SBC001.wav,SBC001.ogg,408,conversation,"This is a conversation recorded in rural Hardin, Montana. Mae Lynne is a student of equine science, and is the main speaker. She is telling Lenore (a visitor and near stranger) about her studies. Doris, Mae Lynne's mother, is doing housework, but joins the conversation near the end to discuss friends of their family."
2,SBC002,SBC002,Lambada,1,29,,,,,,SBC002.wav,SBC002.ogg,513,conversation,"After-dinner conversation among four friends in San Francisco, California. Participants are in their late twenties or early thirties. Harold and Jamie are a married couple, Miles is a doctor, and Pete is a graduate student from Southern California."
3,SBC003,SBC003,Conceptual Pesticides,1,10,,,,,,SBC003.wav,SBC003.ogg,514,conversation,"A conversation among three friends who are preparing dinner together, recorded in Southern California. Roy and Marilyn are a married couple, and Pete is a friend visiting from out of town. All participants are in their early thirties."
4,SBC004,SBC004,Raging Bureaucracy,1,38,,,,,,SBC004.wav,SBC004.ogg,523,conversation,"Family conversation recorded in Santa Fe, New Mexico. The primary participants are three sisters all in their twenties."
5,SBC005,SBC005,A Book about Death,1,8,,,,,,SBC005.wav,SBC005.ogg,527,conversation,"A conversation between a couple who are lying in bed, recorded in Santa Barbara, California."
6,SBC006,SBC006,Cuz,1,11,,,,,,SBC006.wav,SBC006.ogg,532,conversation,"A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California."
7,SBC007,SBC007,A Tree’s Life,1,50,,,,,,SBC007.wav,SBC007.ogg,593,conversation,"Late-night conversation between two sisters, recorded in Montana. "
8,SBC008,SBC008,Tell the Jury That,1,46,,,,,,SBC008.wav,SBC008.ogg,700,task talk,"Task related interaction--an attorney preparing two witnesses to testify in a criminal trial. Recorded in San Francisco, California. Rebecca is a lawyer, June and Rickie are the witnesses, and Arnold is Rickie's husband."
9,SBC009,SBC009,Zero Equals Zero,1,60,,,,,,SBC009.wav,SBC009.ogg,713,task talk,"Task-related talk, a teenage couple recorded in Mobile, Alabama. Kathy is helping her boyfriend Nathan prepare for a math test."
10,SBC010,SBC010,Letter of Concerns,1,30,,,,,,SBC010.wav,SBC010.ogg,728,task talk,"A business conversation recorded in New Mexico. Brad and Phil are board members of a local arts society. Phil wants to talk business, while Brad keeps trying to leave to pick up his wife who's waiting for him at a bookstore."
11,SBC011,SBC011,This Retirement Bit,1,48,,,,,,SBC011.wav,SBC011.ogg,729,conversation,"A conversation among three friends before lunch, recorded in Tucson, Arizona. All three participants are retired women; Samantha (Sam) is 72, Doris is 83, and Angela is 90."
12,SBC012,SBC012,American Democracy is Dying,1,2,,,,,,SBC012.wav,SBC012.ogg,780,lecture,"University lecture, recorded in Riverside, California. This is a Chicano Studies class; the professor is the primary participant, although it is a small, summer school class, and nine members of the class occasionally interact."
13,SBC013,SBC013,Appease the Monster,1,4,,,,,,SBC013.wav,SBC013.ogg,784,conversation,"This is a family conversation/birthday party, recorded in Fort Wayne, Indiana. The five participants are family members: Kendra (the birthday girl) and Kevin are siblings, Ken and Marci are their parents, and Wendy is Kevin's wife. This segment is highly interactional and contains a lot of overlap."
14,SBC014,SBC014,Bank Products,1,6,,,,,,SBC014.wav,SBC014.ogg,906,task talk,"Task related talk—this is a loan officers meeting, recorded in a bank in a small town in rural southern Illinois. Joe and Fred are loan officers working for the bank. Jim is the president of the bank, and Kurt is a board member."
15,SBC015,SBC015,Deadly Diseases,2,12,,,,,,SBC015.wav,SBC015.ogg,403,conversation,"A conversation among three friends, recorded in Los Angeles, California. Ken and Joanne are a couple, and Lenore is a friend of theirs."
16,SBC016,SBC016,Tape Deck,2,44,,,,,,SBC016.wav,SBC016.ogg,518,task talk,"A sales encounter, recorded in an audio store in Santa Barbara. Tammy is planning to buy a new tape deck. Brad, a salesman at the audio store, is discussing various tape decks which he is trying to sell her. "
17,SBC017,SBC017,Wonderful Abstract Notions,2,57,,,,,,SBC017.wav,SBC017.ogg,525,conversation,"A conversation between two male friends, recorded in Southern California."
18,SBC018,SBC018,Vet Morning,2,53,,,,,,SBC018.wav,SBC018.ogg,533,task talk,"A task-related interaction recorded in a veterinarian office near Madison, Wisconsin. All five participants work in the office, some as secretaries and assistants and some as veterinarians."
19,SBC019,SBC019,Doesn’t Work in This Household,2,13,,,,,,SBC019.wav,SBC019.ogg,548,conversation,"A family conversation, recorded in Michigan. Frank and Jan (a married couple) are talking with Ron--Jan's brother who is visiting from California. Brett and Melissa are Frank and Jan's junior-high-age children, who are doing homework and also taking part in the conversation."
20,SBC020,SBC020,God’s Love,2,17,,,,,,SBC020.wav,SBC020.ogg,584,sermon,"A segment from a sermon/lecture recorded at a small conference near Chicago, Illinois. The speaker is a pastor in his mid seventies."
