Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
((POUND)),,[2+++,1,action,co-action,©,{TAP © TAP},,,[,,,,,,+,,,,
((POUND)),,[3+++++++,1,action,co-action,©,{TAP © TAP},,,[,,,,,,+,,,,
((POUND)),,+,18,action,co-action,©,{TAP © TAP},,,,,,,,,+,,,,
((POUND)),,"+,",1,action,co-action,©,{TAP © TAP},,,,,,,,,+,,,,
((POUND)),,+.,2,action,co-action,©,{TAP © TAP},,final,,,,,,,+,,,,
((POUND)),,+[4++++,1,action,co-action,©,{TAP © TAP},,,[,,,,,,+,,,,
((POUND)),,+][5+][6++,1,action,co-action,©,{TAP © TAP},,,[],,,,,,+,,,,
((POUND)),,++,2,action,co-action,©,{TAP © TAP},,,,,,,,,+,,,,
((POUND)),,++.,1,action,co-action,©,{TAP © TAP},,final,,,,,,,+,,,,
((POUND)),,++],1,action,co-action,©,{TAP © TAP},,,],,,,,,+,,,,
((POUND)),,++]+,1,action,co-action,©,{TAP © TAP},,,],,,,,,+,,,,
((POUND)),,+++,4,action,co-action,©,{TAP © TAP},,,,,,,,,+,,,,
((POUND)),,++++[2++],1,action,co-action,©,{TAP © TAP},,,[],,,,,,+,,,,
((POUND)),,++++],1,action,co-action,©,{TAP © TAP},,,],,,,,,+,,,,
((POUND)),,++++++]++[2+++,1,action,co-action,©,{TAP © TAP},,,][,,,,,,+,,,,
((POUND)),,+++++++,1,action,co-action,©,{TAP © TAP},,,,,,,,,+,,,,
((hangs_up_phone)),,((hangs_up_phone)),1,action,,((CAPS)),,,,,,,,,,,,,,
({slap}),,({slap}),6,action,,((CAPS)),[check],,,,,,,,,,,,,
{applause},,[{applause}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{applause},,[{applause}]:,1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{applause},,[6{applause}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{applause},,{applause},14,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{applause},,{applause}[:],2,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{applause},,{applause}[:]:,1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{bang-glasses},,{bang-glasses},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{bark},,[{bark}],7,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{bark},,[2{bark},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{bark},,[2{bark}],2,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{bark},,[4{bark}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{bark},,[5{bark}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{bark},,{bark},9,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{bark},,{bark}],1,action,,((CAPS)),quality-start or action?,,,],,,,,,,,,,
{beep},,[{beep},6,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{beep},,[{beep}2],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{beep},,{beep},10,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{blender},,[{blender}]:,2,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{blender},,{blender},7,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{camera},,[{camera}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{camera},,[2{camera}],2,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{camera},,{camera},7,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{clap},,[{clap},2,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{clap},,[2{clap},2,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{clap},,[3{clap},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{clap},,[4{clap},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{clap},,{clap},9,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{clap},,{clap}],3,action,,((CAPS)),quality-start or action?,,,],,,,,,,,,,
{close-door},,{close-door},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{dog_barking},,[2{dog_barking2}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{dogs_barking},,[{dogs_barking}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{eraser_noise},,{eraser_noise},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{fall},,[{fall}],2,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{fall},,{fall},32,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{fall},,{fall}[:],1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{footsteps},,{footsteps},2,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{knock},,[2{knock}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{machine_starts},,[{machine_starts}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{open-door},,{open-door},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{paper},,[2{paper},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{paper},,{paper},4,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{paper}{/s},,{paper}{/s},1,action,,((CAPS)),[check],,,,,,,,,,,,,
{papers},,{papers},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{pat},,{pat},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{poun}{/d},,[{poun}{/d},2,action,,((CAPS)),[check],,,[,,,,,,,,,,
{poun}{/d},,{poun}{/d},1,action,,((CAPS)),[check],,,,,,,,,,,,,
{pound},,[{pound},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{pound},,{pound},19,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{pounding},,{pounding},2,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{ring},,[{ring}],2,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{ring},,[{ring}]:,1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{ring},,{ring},6,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{ring},,{ring}[2:],1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{rumbling_noise},,{rumbling_noise},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{slap},,{slap},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{slapping},,{slapping},3,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{snap},,{snap},5,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{snapping},,{snapping},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{sob},,{sob},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{stapl}{/e},,{stapl}{/e},1,action,,((CAPS)),[check],,,,,,,,,,,,,
{stomping},,{stomping},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{tap},,{tap},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{television},,{television},34,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{thum}{/p},,{thum}{/p},2,action,,((CAPS)),[check],,,,,,,,,,,,,
{thum}{/p},,{thum}{/p}6],1,action,,((CAPS)),[check],,,],,,,,,,,,,
{thump_microphone},,{thump_microphone},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{thump},,[{thump},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{thump},,{thump},9,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
