longId,discoId,unitId,tokenId,order,place,agent,transcript,transcript_LDC,text,text_LDC,kind,endNote,back,clitic,hostId,noSpaceAfter,unitStart,unitEnd,unitLen,wordStart,wordEnd,wordTimeExact,POS_Spacy,tag_Spacy,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,overlap,Is Overlap,lag,Is Lag,pause,microPause,laugh,unclear,%word,_word,Pre-phonation,Pseudograph,turnId,turnOrder
288213,39,1,1,1,,KIRSTEN;,(...),...,(...),...,Pause,,,null,0,FALSE,0,1.4180000000000001,5,0,1.418,FALSE,PUNCT,NFP,punct,KIRSTEN:,...,...,.,...,False,,False,0,False,1,0,,,,,,,1,1
288214,39,1,2,2,,KIRSTEN;,(TSK),(TSK),(TSK),(TSK),Vocalism,,,null,0,FALSE,0,1.4180000000000001,5,1.418,1.418,FALSE,CCONJ,CC,intj,KIRSTEN:,(tsk),(tsk),(,SK),False,,False,0,False,0,0,,,,,,,1,2
288215,39,1,3,3,1,KIRSTEN;,U:m,U=m,Um,Um,Word,,1,null,0,TRUE,0,1.4180000000000001,5,1.418,1.418,FALSE,PROPN,NNP,npadvmod,(TSK),U=m,u=m,U,U=m,False,,False,1,True,0,0,,,,,,,1,3
288216,39,1,4,4,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,0,1.4180000000000001,5,1.418,1.418,FALSE,PUNCT,",",punct,2.797,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,4
288217,39,1,5,5,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,0,1.4180000000000001,5,1.418,1.418,FALSE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,5
288218,39,2,6,1,,KIRSTEN;,(...),...,(...),...,Pause,,,null,0,FALSE,1.4180000000000001,2.7969999999999997,6,1.418,1.418,FALSE,PUNCT,NFP,punct,2.797,...,...,.,...,False,,False,0,False,1,0,,,,,,,1,6
288219,39,2,7,2,1,KIRSTEN;,first,first,first,first,Word,,3,null,0,FALSE,1.4180000000000001,2.7969999999999997,6,1.418,2.288,TRUE,ADV,RB,advmod,2.797,first,first,f,rst,True,,False,0,False,0,0,,,,,,,1,7
288220,39,2,8,3,2,KIRSTEN;,of,of,of,of,Word,,2,null,0,FALSE,1.4180000000000001,2.7969999999999997,6,2.288,2.378,TRUE,ADP,IN,prep,first,of,of,o,of,True,,False,0,False,0,0,,,,,,,1,8
288221,39,2,9,4,3,KIRSTEN;,all,all,all,all,Word,,1,null,0,TRUE,1.4180000000000001,2.7969999999999997,6,2.378,2.778,TRUE,DET,DT,pobj,of,all,all,a,all,True,,False,0,False,0,0,,,,,,,1,9
288222,39,2,10,5,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,1.4180000000000001,2.7969999999999997,6,2.778,2.797,FALSE,PUNCT,",",punct,KIRSTEN:,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,10
288223,39,2,11,6,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,1.4180000000000001,2.7969999999999997,6,2.797,2.797,FALSE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,11
288224,39,3,12,1,1,KIRSTEN;,maybe,maybe,maybe,maybe,Word,,3,null,0,FALSE,2.7969999999999997,4.012,5,2.797,3.137,TRUE,ADV,RB,advmod,guys,maybe,maybe,m,ybe,True,,False,0,False,0,0,,,,,,,1,12
288225,39,3,13,2,2,KIRSTEN;,you,you,you,you,Word,,2,null,0,FALSE,2.7969999999999997,4.012,5,3.137,3.197,TRUE,PRON,PRP,nmod,guys,-PRON-,you,y,you,True,,False,0,False,0,0,,,,,,,1,13
288226,39,3,14,3,3,KIRSTEN;,guys,guys,guys,guys,Word,,1,null,0,TRUE,2.7969999999999997,4.012,5,3.197,3.997,TRUE,NOUN,NNS,appos,KIRSTEN:,guy,guys,g,uys,True,,False,0,False,0,0,,,,,,,1,14
288227,39,3,15,4,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,2.7969999999999997,4.012,5,3.997,4.012012,TRUE,PUNCT,",",punct,guys,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,15
288228,39,3,16,5,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,2.7969999999999997,4.012,5,3.997,4.012012,TRUE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,16
288229,39,4,17,1,,KIRSTEN;,(.),..,(.),..,Pause,,,null,0,FALSE,4.012,5.477,6,4.012012,4.262,FALSE,PUNCT,NFP,punct,5.477,..,..,.,..,False,,False,0,False,0,1,,,,,,,1,17
288230,39,4,18,2,1,KIRSTEN;,can,can,can,can,Word,,3,null,0,FALSE,4.012,5.477,6,4.262,4.262,FALSE,VERB,MD,aux,tell,can,can,c,can,True,,False,0,False,0,0,,,,,,,1,18
288231,39,4,19,3,2,KIRSTEN;,tell,tell,tell,tell,Word,,2,null,0,FALSE,4.012,5.477,6,4.262,4.742,TRUE,VERB,VB,acl,guys,tell,tell,t,ell,True,,False,0,False,0,0,,,,,,,1,19
288232,39,4,20,4,3,KIRSTEN;,me:,me=,me,me,Word,,1,null,0,TRUE,4.012,5.477,6,4.782,5.312,TRUE,PROPN,NNP,dobj,tell,me=,me=,m,me=,False,,False,1,True,0,0,,,,,,,1,20
288233,39,4,21,5,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,4.012,5.477,6,5.477,6.047,TRUE,PUNCT,",",punct,tell,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,21
288234,39,4,22,6,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,4.012,5.477,6,5.477,6.047,TRUE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,22
288235,39,5,23,1,,KIRSTEN;,(...),...,(...),...,Pause,,,null,0,FALSE,5.477,7.5120000000000005,10,6.047,6.047,FALSE,PUNCT,NFP,punct,tell,...,...,.,...,False,,False,0,False,1,0,,,,,,,1,23
288236,39,5,24,2,1,KIRSTEN;,we,we,we,we,Word,,7,null,0,FALSE,5.477,7.5120000000000005,10,6.047,6.157,TRUE,PRON,PRP,nsubj,talked,-PRON-,we,w,we,True,,False,0,False,0,0,,,,,,,1,24
288237,39,5,25,3,2,KIRSTEN;,talked,talked,talked,talked,Word,,6,null,0,FALSE,5.477,7.5120000000000005,10,6.157,6.477,TRUE,VERB,VBD,ccomp,tell,talk,talked,t,ked,True,,False,0,False,0,0,,,,,,,1,25
288238,39,5,26,4,3,KIRSTEN;,a,a,a,a,Word,,5,null,0,FALSE,5.477,7.5120000000000005,10,6.477,6.527,TRUE,DET,DT,det,bit,a,a,a,a,True,,False,0,False,0,0,,,,,,,1,26
288239,39,5,27,5,4,KIRSTEN;,little,little,little,little,Word,,4,null,0,FALSE,5.477,7.5120000000000005,10,6.577,6.817,TRUE,ADJ,JJ,amod,bit,little,little,l,tle,True,,False,0,False,0,0,,,,,,,1,27
288240,39,5,28,6,5,KIRSTEN;,bit,bit,bit,bit,Word,,3,null,0,FALSE,5.477,7.5120000000000005,10,6.817,6.937,TRUE,NOUN,NN,npadvmod,talked,bit,bit,b,bit,True,,False,0,False,0,0,,,,,,,1,28
288241,39,5,29,7,6,KIRSTEN;,about,about,about,about,Word,,2,null,0,FALSE,5.477,7.5120000000000005,10,6.937,7.327,TRUE,ADP,IN,prep,talked,about,about,a,out,True,,False,0,False,0,0,,,,,,,1,29
288242,39,5,30,8,7,KIRSTEN;,it,it,it,it,Word,,1,null,0,TRUE,5.477,7.5120000000000005,10,7.327,7.497,TRUE,PRON,PRP,pobj,about,-PRON-,it,i,it,True,,False,0,False,0,0,,,,,,,1,30
288243,39,5,31,9,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,5.477,7.5120000000000005,10,7.497,7.512012,TRUE,PUNCT,",",punct,guys,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,31
288244,39,5,32,10,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,5.477,7.5120000000000005,10,7.497,7.512012,TRUE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,32
288245,39,6,33,1,1,KIRSTEN;,last,last,last,last,Word,,5,null,0,FALSE,7.5120000000000005,8.814,7,7.512012,7.802,FALSE,ADJ,JJ,amod,time,last,last,l,ast,True,,False,0,False,0,0,,,,,,,1,33
288246,39,6,34,2,2,KIRSTEN;,time,time,time,time,Word,,4,null,0,FALSE,7.5120000000000005,8.814,7,7.802,8.012,TRUE,NOUN,NN,npadvmod,8.814,time,time,t,ime,True,,False,0,False,0,0,,,,,,,1,34
288247,39,6,35,3,3,KIRSTEN;,you,you,you,you,Word,,3,null,0,FALSE,7.5120000000000005,8.814,7,8.012,8.152,TRUE,PRON,PRP,nsubj,were,-PRON-,you,y,you,True,,False,0,False,0,0,,,,,,,1,35
288248,39,6,36,4,4,KIRSTEN;,were,were,were,were,Word,,2,null,0,FALSE,7.5120000000000005,8.814,7,8.152,8.262,TRUE,VERB,VBD,relcl,8.814,be,were,w,ere,True,,False,0,False,0,0,,,,,,,1,36
288249,39,6,37,5,5,KIRSTEN;,here,here,here,here,Word,,1,null,0,TRUE,7.5120000000000005,8.814,7,8.262,8.792,TRUE,ADV,RB,advmod,were,here,here,h,ere,True,,False,0,False,0,0,,,,,,,1,37
288250,39,6,38,6,,KIRSTEN;,?,?,?,?,EndNote,appeal,,null,0,TRUE,7.5120000000000005,8.814,7,8.792,8.813995,TRUE,PUNCT,.,punct,KIRSTEN:,?,?,?,?,False,,False,0,False,0,0,,,,,,,1,38
288251,39,6,39,7,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,7.5120000000000005,8.814,7,8.792,8.813995,TRUE,SPACE,_SP,,?,"","","","",False,,False,0,False,0,0,,,,,,,1,39
288252,39,7,40,1,1,KIRSTEN;,Or,Or,Or,Or,Word,,4,null,0,FALSE,8.814,9.717,6,8.813995,9.004,FALSE,CCONJ,CC,cc,did,or,or,O,Or,True,,False,0,False,0,0,,,,,,,1,40
288253,39,7,41,2,2,KIRSTEN;,did,did,did,did,Word,,3,null,0,FALSE,8.814,9.717,6,9.004,9.194,TRUE,VERB,VBD,punct,KIRSTEN:,do,did,d,did,True,,False,0,False,0,0,,,,,,,1,41
288254,39,7,42,3,3,KIRSTEN;,we,we,we,we,Word,,2,null,0,FALSE,8.814,9.717,6,9.194,9.334,TRUE,PRON,PRP,nsubj,did,-PRON-,we,w,we,True,,False,0,False,0,0,,,,,,,1,42
288255,39,7,43,4,4,KIRSTEN;,not,not,not,not,Word,,1,null,0,TRUE,8.814,9.717,6,9.334,9.704,TRUE,ADV,RB,neg,did,not,not,n,not,True,,False,0,False,0,0,,,,,,,1,43
288256,39,7,44,5,,KIRSTEN;,",",",",",",",",EndNote,continuing,,null,0,TRUE,8.814,9.717,6,9.704,9.717,FALSE,PUNCT,",",punct,KIRSTEN:,",",",",",",",",False,,False,0,False,0,0,,,,,,,1,44
288257,39,7,45,6,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,8.814,9.717,6,9.717,9.717,FALSE,SPACE,_SP,,",","","","","",False,,False,0,False,0,0,,,,,,,1,45
288258,39,8,46,1,1,KIRSTEN;,talk,talk,talk,talk,Word,,7,null,0,FALSE,9.717,12.130999999999998,10,9.717,9.977,TRUE,NOUN,NN,appos,KIRSTEN:,talk,talk,t,alk,True,,False,0,False,0,0,,,,,,,1,46
288259,39,8,47,2,2,KIRSTEN;,[about],[about],about,about,Word,,6,null,0,FALSE,9.717,12.130999999999998,10,9.977,10.357,TRUE,X,XX,punct,talk,[about],[about],[,ut],False,[],True,0,False,0,0,,,,,,,1,47
288260,39,8,48,3,,KIRSTEN;,(.),..,(.),..,Pause,,,null,0,FALSE,9.717,12.130999999999998,10,10.357,10.457,TRUE,PUNCT,NFP,punct,talk,..,..,.,..,False,,False,0,False,0,1,,,,,,,1,48
288261,39,8,49,4,3,KIRSTEN;,the,the,the,the,Word,,5,null,0,FALSE,9.717,12.130999999999998,10,10.457,10.557,TRUE,DET,DT,det,history,the,the,t,the,True,,False,0,False,0,0,,,,,,,1,49
288262,39,8,50,5,4,KIRSTEN;,history,history,history,history,Word,,4,null,0,FALSE,9.717,12.130999999999998,10,10.557,11.057,TRUE,NOUN,NN,appos,talk,history,history,h,ory,True,,False,0,False,0,0,,,,,,,1,50
288263,39,8,51,6,5,KIRSTEN;,of,of,of,of,Word,,3,null,0,FALSE,9.717,12.130999999999998,10,11.057,11.167,TRUE,ADP,IN,prep,history,of,of,o,of,True,,False,0,False,0,0,,,,,,,1,51
288264,39,8,52,7,6,KIRSTEN;,the,the,the,the,Word,,2,null,0,FALSE,9.717,12.130999999999998,10,11.167,11.247,TRUE,DET,DT,det,penguins,the,the,t,the,True,,False,0,False,0,0,,,,,,,1,52
288265,39,8,53,8,7,KIRSTEN;,penguins,penguins,penguins,penguins,Word,,1,null,0,TRUE,9.717,12.130999999999998,10,11.247,12.117,TRUE,NOUN,NNS,pobj,of,penguin,penguins,p,ins,True,,False,0,False,0,0,,,,,,,1,53
288266,39,8,54,9,,KIRSTEN;,.,.,.,.,EndNote,final,,null,0,TRUE,9.717,12.130999999999998,10,12.117,12.13101,TRUE,PUNCT,.,punct,KIRSTEN:,.,.,.,.,False,,False,0,False,0,0,,,,,,,1,54
288267,39,8,55,10,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,9.717,12.130999999999998,10,12.117,12.13101,TRUE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,1,55
288268,39,9,56,1,,AMY;,[<#,[<X,<#,<X,Tag,,,null,0,FALSE,9.962,10.357000000000001,5,9.962,9.962,TRUE,X,XX,nmod,X>],[<x,[<x,[,[<X,False,],True,0,False,0,0,,,,,,,2,1
288269,39,9,57,2,1,AMY;,Thanks,Thanks,Thanks,Thanks,Word,,1,null,0,FALSE,9.962,10.357000000000001,5,9.962,10.292,TRUE,NOUN,NNS,compound,X>],thank,thanks,T,nks,True,,True,0,False,0,0,,,,,,,2,2
288270,39,9,58,3,,AMY;,#>],X>],#>,X>,Tag,,,null,0,TRUE,9.962,10.357000000000001,5,10.292,10.35701,TRUE,PROPN,NNP,appos,KIRSTEN:,X>],x>],X,X>],False,,True,0,False,0,0,,#word,,,,,2,3
288271,39,9,59,4,,AMY;,.,.,.,.,EndNote,final,,null,0,TRUE,9.962,10.357000000000001,5,9.962,9.962,TRUE,PUNCT,.,punct,KIRSTEN:,.,.,.,.,False,],False,0,False,0,0,,,,,,,2,4
288272,39,9,60,5,,AMY;,"","","","",Newline,,,null,0,TRUE,9.962,10.357000000000001,5,9.962,9.962,TRUE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,2,5
288273,39,10,61,1,1,DON;,[2I,[2I,I,I,Word,,6,null,0,FALSE,12.130999999999998,13.46,8,12.241,12.271,TRUE,X,XX,nsubj,was,[2i,[2i,[,[2I,False,],True,0,False,0,0,,,,,,,3,1
288274,39,10,62,2,2,DON;,was,was,was,was,Word,,5,host,0,TRUE,12.130999999999998,13.46,8,12.271,12.491,TRUE,VERB,VBD,punct,KIRSTEN:,was,was,w,was,True,,True,0,False,0,0,,,,,,,3,2
288275,39,10,63,3,3,DON;,n't,n't,n't,n't,Word,,4,clitic,62,FALSE,12.130999999999998,13.46,8,12.271,12.491,TRUE,ADV,RB,neg,was,not,not,n,n't,False,,True,0,False,0,0,,,,,,,3,3
288276,39,10,64,4,4,DON;,here,here,here,here,Word,,3,null,0,FALSE,12.130999999999998,13.46,8,12.491,12.741,TRUE,ADV,RB,advmod,was,here,here,h,ere,True,,True,0,False,0,0,,,,,,,3,4
288277,39,10,65,5,5,DON;,that,that,that,that,Word,,2,null,0,FALSE,12.130999999999998,13.46,8,12.741,13.231,TRUE,ADP,IN,det,weekend2],that,that,t,hat,True,,True,0,False,0,0,,,,,,,3,5
288278,39,10,66,6,6,DON;,weekend],weekend2],weekend,weekend,Word,,1,null,0,TRUE,12.130999999999998,13.46,8,13.231,13.441,TRUE,X,ADD,attr,was,weekend2],weekend2],w,d2],False,,True,0,False,0,0,,,,,,,3,6
288279,39,10,67,7,,DON;,.,.,.,.,EndNote,final,,null,0,TRUE,12.130999999999998,13.46,8,13.441,13.45998,TRUE,PUNCT,.,punct,was,.,.,.,.,False,],False,0,False,0,0,,,,,,,3,7
288280,39,10,68,8,,DON;,"","","","",Newline,,,null,0,TRUE,12.130999999999998,13.46,8,12.241,12.241,TRUE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,3,8
288281,39,11,69,1,,LORI;,[2(TSK),[2(TSK),(TSK),(TSK),Vocalism,,,null,0,FALSE,12.130999999999998,13.46,5,13.46,13.46,TRUE,PUNCT,NFP,nmod,No=2],[2(TSK),[2(tsk),[,SK),False,],True,0,False,0,0,,,,,,,4,1
288282,39,11,70,2,,LORI;,(H):,(H)=,(H),(H),Vocalism,,,null,0,FALSE,12.130999999999998,13.46,5,13.46,13.46,TRUE,PUNCT,NFP,compound,No=2],(H)=,(h)=,(,H)=,False,,True,1,True,0,0,,,,,,,4,2
288283,39,11,71,3,1,LORI;,No:],No=2],No,No,Word,,1,null,0,TRUE,12.130999999999998,13.46,5,13.46,13.97,TRUE,NOUN,NN,appos,KIRSTEN:,no=2],no=2],N,=2],False,,True,1,True,0,0,,,,,,,4,3
288284,39,11,72,4,,LORI;,.,.,.,.,EndNote,final,,null,0,TRUE,12.130999999999998,13.46,5,13.46,13.46,TRUE,PUNCT,.,punct,No=2],.,.,.,.,False,],False,0,False,0,0,,,,,,,4,4
288285,39,11,73,5,,LORI;,"","","","",Newline,,,null,0,TRUE,12.130999999999998,13.46,5,13.46,13.46,TRUE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,4,5
288286,39,12,74,1,1,LORI;,No[3:],No[3=3],No,No,Word,,1,null,0,TRUE,13.46,14.177999999999999,3,13.46,13.97,TRUE,PROPN,NNP,npadvmod,13.460,No[3=3],no[3=3],N,=3],False,[],True,1,True,0,0,,,,,,,4,6
288287,39,12,75,2,,LORI;,.,.,.,.,EndNote,final,,null,0,TRUE,13.46,14.177999999999999,3,13.46,13.97,FALSE,PUNCT,.,punct,13.460,.,.,.,.,False,,False,0,False,0,0,,,,,,,4,7
288288,39,12,76,3,,LORI;,"","","","",Newline,,,null,0,TRUE,13.46,14.177999999999999,3,13.46,13.97,FALSE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,4,8
288289,39,13,77,1,1,KIRSTEN;,[3Okay],[3Okay3],Okay,Okay,Word,,1,null,0,TRUE,13.67,14.177999999999999,3,-1,-1,TRUE,X,XX,intj,KIRSTEN:,[3okay3],[3okay3],[,y3],False,[],True,0,False,0,0,,,,,,,5,1
288290,39,13,78,2,,KIRSTEN;,.,.,.,.,EndNote,final,,null,0,TRUE,13.67,14.177999999999999,3,-1,-1,FALSE,PUNCT,.,punct,KIRSTEN:,.,.,.,.,False,,False,0,False,0,0,,,,,,,5,2
288291,39,13,79,3,,KIRSTEN;,"","","","",Newline,,,null,0,TRUE,13.67,14.177999999999999,3,-1,-1,FALSE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,5,3
288292,39,14,80,1,1,LORI;,We,We,We,We,Word,,6,null,0,FALSE,14.177999999999999,16.827,8,14.178,14.328,TRUE,PRON,PRP,nsubj,talked,-PRON-,we,W,We,True,,False,0,False,0,0,,,,,,,6,1
288293,39,14,81,2,2,LORI;,talked,talked,talked,talked,Word,,5,null,0,FALSE,14.177999999999999,16.827,8,14.328,14.608,TRUE,VERB,VBD,ccomp,want,talk,talked,t,ked,True,,False,0,False,0,0,,,,,,,6,2
288294,39,14,82,3,3,LORI;,about,about,about,about,Word,,4,null,0,FALSE,14.177999999999999,16.827,8,14.608,14.818,TRUE,ADP,IN,prep,talked,about,about,a,out,True,,False,0,False,0,0,,,,,,,6,3
288295,39,14,83,4,4,LORI;,the,the,the,the,Word,,3,null,0,FALSE,14.177999999999999,16.827,8,14.818,14.938,TRUE,DET,DT,det,spe=cie[4=s4],the,the,t,the,True,,False,0,False,0,0,,,,,,,6,4
288296,39,14,84,5,5,LORI;,endangered,endangered,endangered,endangered,Word,,2,null,0,FALSE,14.177999999999999,16.827,8,14.938,15.418,TRUE,VERB,VBN,amod,spe=cie[4=s4],endanger,endangered,e,red,True,,False,0,False,0,0,,,,,,,6,5
