corpusSeq,docId,unitId,unitStart,unitEnd,unitDur,unitBil,tokenSeq,sequence,order,place,back,actor,transcript,text,kind,endNote,part,tag,depRel,headText,headId,Lemma,turnSeq,turnBil,turnOrder,pSentSeq,pSentBil,pSentOrder
183405,25,1,6.065,7.580,1.515,B,1,1,1,1,5,#FOSTER;,So,So,Word,"",ADV,RB,advmod,laid,3,so,1,B,1,1,B,1
183406,25,1,6.065,7.580,1.515,I,2,1,2,2,4,#FOSTER;,Erasmus,Erasmus,Word,"",PROPN,NNP,nsubj,laid,3,Erasmus,1,I,2,1,I,2
183407,25,1,6.065,7.580,1.515,I,3,1,3,3,3,#FOSTER;,laid,laid,Word,"",VERB,VBD,ccomp,laid,8,lay,1,I,3,1,I,3
183408,25,1,6.065,7.580,1.515,I,4,1,4,4,2,#FOSTER;,the,the,Word,"",DET,DT,det,the–,5,the,1,I,4,1,I,4
183409,25,1,6.065,7.580,1.515,L,5,1,5,5,1,#FOSTER;,the–,the,Word,"",PROPN,NNP,dobj,laid,3,the–,1,I,5,1,I,5
183410,25,1,6.065,7.580,1.515,O,6,1,6,,,#FOSTER;,—,—,EndNote,break,PUNCT,:,punct,laid,3,—,1,O,6,1,O,6
183412,25,2,7.585,8.315,0.730,B,8,2,1,1,3,#FOSTER;,laid,laid,Word,"",VERB,VBD,ccomp,let,62,lay,1,I,8,1,I,8
183413,25,2,7.585,8.315,0.730,I,9,2,2,2,2,#FOSTER;,the,the,Word,"",DET,DT,det,egg,10,the,1,I,9,1,I,9
183414,25,2,7.585,8.315,0.730,L,10,2,3,3,1,#FOSTER;,egg,egg,Word,"",NOUN,NN,dobj,laid,8,egg,1,I,10,1,I,10
183415,25,2,7.585,8.315,0.730,O,11,2,4,,,#FOSTER;,",",",",EndNote,continuing,PUNCT,",",punct,laid,8,",",1,O,11,1,O,11
183417,25,3,8.315,9.540,1.225,B,13,3,1,1,3,#FOSTER;,which,which,Word,"",DET,WDT,dobj,hatched,15,which,1,I,13,1,I,13
183418,25,3,8.315,9.540,1.225,I,14,3,2,2,2,#FOSTER;,Luther,Luther,Word,"",PROPN,NNP,nsubj,hatched,15,Luther,1,I,14,1,I,14
183419,25,3,8.315,9.540,1.225,L,15,3,3,3,1,#FOSTER;,hatched,hatched,Word,"",VERB,VBD,advcl,laid,8,hatch,1,I,15,1,L,15
183420,25,3,8.315,9.540,1.225,O,16,3,4,,,#FOSTER;,.,.,EndNote,final,PUNCT,.,punct,laid,8,.,1,O,16,1,O,16
183422,25,4,10.225,11.185,0.960,B,18,4,1,,,#FOSTER;,(...),(...),Pause,"",ADJ,JJS,punct,laid,8,(...),1,I,18,2,B,18
183423,25,4,10.225,11.185,0.960,I,19,4,2,,,#FOSTER;,(TSK),(TSK),Vocalism,"",X,XX,punct,(Hx),33,(tsk),1,I,19,2,I,19
183424,25,4,10.225,11.185,0.960,I,20,4,3,1,2,#FOSTER;,And,And,Word,"",CCONJ,CC,cc,(Hx),33,and,1,I,20,2,I,20
183425,25,4,10.225,11.185,0.960,L,21,4,4,2,1,#FOSTER;,um,um,Word,"",INTJ,UH,intj,(Hx),33,um,1,I,21,2,I,21
183426,25,4,10.225,11.185,0.960,O,22,4,5,,,#FOSTER;,",",",",EndNote,continuing,PUNCT,",",punct,(Hx),33,",",1,O,22,2,O,22
183428,25,5,11.175,12.250,1.075,B,24,5,1,,,#FOSTER;,(.),(.),Pause,"",NUM,CD,intj,",",22,(.),1,I,24,2,I,24
183429,25,5,11.175,12.250,1.075,I,25,5,2,1,4,#FOSTER;,when,when,Word,"",ADV,WRB,advmod,come,27,when,1,I,25,2,I,25
183430,25,5,11.175,12.250,1.075,I,26,5,3,2,3,#FOSTER;,you,you,Word,"",PRON,PRP,nsubj,come,27,-PRON-,1,I,26,2,I,26
183431,25,5,11.175,12.250,1.075,I,27,5,4,3,2,#FOSTER;,come,come,Word,"",VERB,VBP,advcl,(Hx),33,come,1,I,27,2,I,27
183432,25,5,11.175,12.250,1.075,L,28,5,5,4,1,#FOSTER;,then,then,Word,"",ADV,RB,advmod,come,27,then,1,I,28,2,I,28
183433,25,5,11.175,12.250,1.075,O,29,5,6,,,#FOSTER;,",",",",EndNote,continuing,PUNCT,",",punct,(Hx),33,",",1,O,29,2,O,29
183435,25,6,12.250,12.850,0.600,B,31,6,1,,,#FOSTER;,(.),(.),Pause,"",NUM,CD,nmod,(Hx),33,(.),1,I,31,2,I,31
183436,25,6,12.250,12.850,0.600,I,32,6,2,1,1,#FOSTER;,to:,to,Word,"",X,FW,compound,(Hx),33,to:,1,I,32,2,I,32
183437,25,6,12.250,12.850,0.600,L,33,6,3,,,#FOSTER;,(Hx),(Hx),Vocalism,"",PROPN,NNP,dep,laid,8,(Hx),1,I,33,2,I,33
