corpusSeq,docId,unitId,unitStart,unitEnd,unitDur,unitBil,tokenSeq,sequence,order,place,back,actor,transcript,text,kind,endNote,part,tag,depRel,headText,headId,Lemma,turnSeq,turnBil,turnOrder,pSentSeq,pSentBil,pSentOrder
244651,33,1,0.000,3.675,3.675,B,1,1,1,,,LAURA;,(...),(...),Pause,"",PUNCT,``,punct,Look,2,(...),1,B,1,1,B,1
244652,33,1,0.000,3.675,3.675,I,2,1,2,1,3,LAURA;,Look,Look,Word,"",VERB,VB,appos,3.675,,look,1,I,2,1,I,2
244653,33,1,0.000,3.675,3.675,I,3,1,3,2,2,LAURA;,at,at,Word,"",ADP,IN,prep,Look,2,at,1,I,3,1,I,3
244654,33,1,0.000,3.675,3.675,L,4,1,4,3,1,LAURA;,this,this,Word,"",DET,DT,pobj,at,3,this,1,I,4,1,L,4
244655,33,1,0.000,3.675,3.675,O,5,1,5,,,LAURA;,.,.,EndNote,final,PUNCT,.,punct,Look,2,.,1,O,5,1,O,5
244657,33,2,3.675,4.427,0.752,B,7,2,1,1,4,LAURA;,Is,Is,Word,"",AUX,VBZ,ccomp,wears,30,be,1,I,7,2,B,7
244658,33,2,3.675,4.427,0.752,I,8,2,2,2,3,LAURA;,n't,n't,Word,"",PART,RB,neg,Is,7,not,1,I,8,2,I,8
244659,33,2,3.675,4.427,0.752,I,9,2,3,3,2,LAURA;,this,this,Word,"",DET,DT,nsubj,Is,7,this,1,I,9,2,I,9
244660,33,2,3.675,4.427,0.752,L,10,2,4,4,1,LAURA;,pretty,pretty,Word,"",ADJ,JJ,acomp,Is,7,pretty,1,L,10,2,L,10
244661,33,2,3.675,4.427,0.752,O,11,2,5,,,LAURA;,?,?,EndNote,appeal,PUNCT,.,punct,Is,7,?,1,O,11,2,O,11
244663,33,3,4.427,4.936,0.509,B,13,3,1,,,LISBETH;,(.),(.),Pause,"",NUM,CD,attr,Is,7,(.),2,B,1,3,B,1
244664,33,3,4.427,4.936,0.509,L,14,3,2,,,LISBETH;,(%)#,#,Vocalism,"",INTJ,UH,punct,(.),13,(%)#,2,I,2,3,L,2
244665,33,3,4.427,4.936,0.509,O,15,3,3,,,LISBETH;,.,.,EndNote,final,PUNCT,.,punct,Is,7,.,2,O,3,3,O,3
244667,33,4,4.994,6.952,1.958,B,17,4,1,,,LISBETH;,(...),(...),Pause,"",PROPN,NNPS,punct,Is,7,(...),2,I,5,4,B,5
244668,33,4,4.994,6.952,1.958,I,18,4,2,1,2,LISBETH;,[#Li:me,Lime,Word,"",X,XX,punct,Is,7,[#li:me,2,I,6,4,I,6
244669,33,4,4.994,6.952,1.958,I,19,4,3,,,LISBETH;,#(.)],#,Pause,"",PROPN,NNP,compound,#crea:m,20,#(.)],2,I,7,4,I,7
244670,33,4,4.994,6.952,1.958,L,20,4,4,2,1,LISBETH;,#crea:m,cream,Word,"",X,ADD,attr,Is,7,#crea:m,2,L,8,4,L,8
244671,33,4,4.994,6.952,1.958,O,21,4,5,,,LISBETH;,.,.,EndNote,final,PUNCT,.,punct,Is,7,.,2,O,9,4,O,9
244673,33,5,5.877,6.347,0.470,B,23,5,1,1,3,DON;,[What,What,Word,"",X,XX,punct,Is,7,[what,3,B,1,5,B,1
244674,33,5,5.877,6.347,0.470,I,24,5,2,2,2,DON;,is,is,Word,"",AUX,VBZ,conj,Is,7,be,3,I,2,5,I,2
244675,33,5,5.877,6.347,0.470,L,25,5,3,3,1,DON;,that],that,Word,"",PROPN,NNP,nsubj,is,24,that],3,L,3,5,L,3
244676,33,5,5.877,6.347,0.470,O,26,5,4,,,DON;,.,.,EndNote,final,PUNCT,.,punct,Is,7,.,3,O,4,5,O,4
244678,33,6,6.952,8.008,1.056,B,28,6,1,1,4,LAURA;,[2~Mary,Mary,Word,"",X,XX,dep,wears,30,[2~mary,4,B,1,6,B,1
244679,33,6,6.952,8.008,1.056,I,29,6,2,2,3,LAURA;,always,always,Word,"",ADV,RB,advmod,wears,30,always,4,I,2,6,I,2
244680,33,6,6.952,8.008,1.056,I,30,6,3,3,2,LAURA;,wears,wears,Word,"",VERB,VBZ,ccomp,'s,168,wear,4,I,3,6,I,3
244681,33,6,6.952,8.008,1.056,L,31,6,4,4,1,LAURA;,them],them,Word,"",ADP,IN,dobj,wears,30,them],4,L,4,6,L,4
244682,33,6,6.952,8.008,1.056,O,32,6,5,,,LAURA;,.,.,EndNote,final,PUNCT,.,punct,wears,30,.,4,O,5,6,O,5
244684,33,7,7.299,8.748,1.449,B,34,7,1,1,5,#;,[2Wok,Wok,Word,"",X,XX,punct,#;,,[2wok,5,B,1,7,B,1
244685,33,7,7.299,8.748,1.449,I,35,7,2,2,4,#;,wok],wok,Word,"",PROPN,NNP,amod,wok,37,wok],5,I,2,7,I,2
244686,33,7,7.299,8.748,1.449,I,36,7,3,3,3,#;,wok,wok,Word,"",PROPN,NNP,compound,wok,37,wok,5,I,3,7,I,3
244687,33,7,7.299,8.748,1.449,I,37,7,4,4,2,#;,wok,wok,Word,"",PROPN,NNP,appos,#;,,wok,5,I,4,7,I,4
244688,33,7,7.299,8.748,1.449,L,38,7,5,5,1,#;,[3wok],wok,Word,"",PROPN,NNP,punct,#;,,[3wok],5,L,5,7,I,5
244689,33,7,7.299,8.748,1.449,O,39,7,6,,,#;,",",",",EndNote,continuing,PUNCT,",",punct,#;,,",",5,O,6,7,O,6
244691,33,8,8.472,9.300,0.828,B,41,8,1,1,3,LAURA;,[3She],She,Word,"",X,XX,punct,brought,42,[3she],6,B,1,8,B,1
244692,33,8,8.472,9.300,0.828,I,42,8,2,2,2,LAURA;,brought,brought,Word,"",VERB,VBN,conj,wears,30,bring,6,I,2,8,I,2
244693,33,8,8.472,9.300,0.828,L,43,8,3,3,1,LAURA;,so[4:me,some,Word,"",ADJ,JJ,dep,.,44,so[4:me,6,L,3,8,L,3
244694,33,8,8.472,9.300,0.828,O,44,8,4,,,LAURA;,.,.,EndNote,final,PUNCT,.,punct,wears,30,.,6,O,4,8,O,4
244696,33,9,9.124,9.845,0.721,B,46,9,1,1,2,#;,[4Wok,Wok,Word,"",X,XX,punct,#;,,[4wok,7,B,1,7,I,1
244697,33,9,9.124,9.845,0.721,L,47,9,2,2,1,#;,wok],wok,Word,"",NOUN,NN,appos,#;,,wok],7,L,2,7,L,2
244698,33,9,9.124,9.845,0.721,O,48,9,3,,,#;,.,.,EndNote,final,PUNCT,.,punct,wears,30,.,7,O,3,7,O,3
244700,33,10,9.505,10.631,1.126,B,50,10,1,,,LAURA;,(.),(.),Pause,"",INTJ,UH,compound,always4],52,(.),8,B,1,9,B,1
244701,33,10,9.505,10.631,1.126,I,51,10,2,1,5,LAURA;,I,I,Word,"",PRON,PRP,compound,always4],52,-PRON-,8,I,2,9,I,2
244702,33,10,9.505,10.631,1.126,I,52,10,3,2,4,LAURA;,always4],always,Word,"",PROPN,NNP,compound,comment,53,always4],8,I,3,9,I,3
244703,33,10,9.505,10.631,1.126,I,53,10,4,3,3,LAURA;,comment,comment,Word,"",NOUN,NN,conj,wears,30,comment,8,I,4,9,I,4
244704,33,10,9.505,10.631,1.126,I,54,10,5,4,2,LAURA;,[5on,on,Word,"",X,XX,punct,them],55,[5on,8,I,5,9,I,5
244705,33,10,9.505,10.631,1.126,L,55,10,6,5,1,LAURA;,them],them,Word,"",NOUN,NNS,appos,comment,53,them],8,L,6,9,L,6
244706,33,10,9.505,10.631,1.126,O,56,10,7,,,LAURA;,.,.,EndNote,final,PUNCT,.,punct,comment,53,.,8,O,7,9,O,7
244708,33,11,10.127,11.087,0.960,B,58,11,1,1,7,LISBETH;,[5You],You,Word,"",X,XX,punct,wears,30,[5you],9,B,1,10,B,1
244709,33,11,10.127,11.087,0.960,I,59,11,2,2,6,LISBETH;,have,have,Word,"",AUX,VBP,conj,wears,30,have,9,I,2,10,I,2
244710,33,11,10.127,11.087,0.960,I,60,11,3,3,5,LISBETH;,to,to,Word,"",PART,TO,aux,be,61,to,9,I,3,10,I,3
244711,33,11,10.127,11.087,0.960,I,61,11,4,4,4,LISBETH;,be,be,Word,"",AUX,VB,xcomp,have,59,be,9,I,4,10,I,4
244712,33,11,10.127,11.087,0.960,I,62,11,5,5,3,LISBETH;,nice,nice,Word,"",ADJ,JJ,acomp,be,61,nice,9,I,5,10,I,5
244713,33,11,10.127,11.087,0.960,I,63,11,6,6,2,LISBETH;,to,to,Word,"",ADP,IN,prep,nice,62,to,9,I,6,10,I,6
244714,33,11,10.127,11.087,0.960,L,64,11,7,7,1,LISBETH;,me,me,Word,"",PRON,PRP,pobj,to,63,-PRON-,9,L,7,10,I,7
244715,33,11,10.127,11.087,0.960,O,65,11,8,,,LISBETH;,",",",",EndNote,continuing,PUNCT,",",punct,be,61,",",9,O,8,10,O,8
