docId,unitId,unitStart,unitEnd,sequence,participant,order,transcript,text,POS_dft,kind,endNote,corpusSeq,tokenSeq,place,negPlace,turnOrder,pSentOrder,turnSeq,pSentSeq,unitStartSkipPause,unitDur,unitDurSkipPause
sbc034,1,0.000,4.475,1,>ENV;,1,((DOOR_OPENING_AND_CLOSING)),((DOOR_OPENING_AND_CLOSING)),X,Action,"",249196,1,,,1,1,1,1,0.000,4.475,4.475
sbc034,2,4.475,5.077,2,KAREN;,1,Hi,Hi,INTJ,Word,"",249198,3,1,2,1,3,2,2,4.475,0.602,0.602
sbc034,2,4.475,5.077,2,KAREN;,2,sweetie,sweetie,NOUN,Word,"",249199,4,2,1,2,4,2,2,4.475,0.602,0.602
sbc034,2,4.475,5.077,2,KAREN;,3,.,.,PUNCT,EndNote,final,249200,5,,,3,5,2,2,4.475,0.602,0.602
sbc034,3,5.077,5.908,3,SCOTT;,1,(...),(...),X,Pause,"",249202,7,,,1,1,3,3,5.577,0.831,0.331
sbc034,3,5.077,5.908,3,SCOTT;,2,Hey,Hey,INTJ,Word,"",249203,8,1,1,2,2,3,3,5.577,0.831,0.331
sbc034,3,5.077,5.908,3,SCOTT;,3,.,.,PUNCT,EndNote,final,249204,9,,,3,3,3,3,5.577,0.831,0.331
sbc034,4,5.908,6.489,4,SCOTT;,1,(.),(.),X,Pause,"",249206,11,,,5,1,3,4,6.058,0.581,0.431
sbc034,4,5.908,6.489,4,SCOTT;,2,(AHEM),(AHEM),X,Vocalism,"",249207,12,,,6,2,3,4,6.058,0.581,0.431
sbc034,5,6.489,7.630,5,KAREN;,1,#Sweetie,Sweetie,PROPN,Word,"",249209,14,1,2,1,4,4,5,6.489,1.141,1.141
sbc034,5,6.489,7.630,5,KAREN;,2,#frumptions,frumptions,NOUN,Word,"",249210,15,2,1,2,1,4,5,6.489,1.141,1.141
sbc034,5,6.489,7.630,5,KAREN;,3,.,.,PUNCT,EndNote,final,249211,16,,,3,2,4,5,6.489,1.141,1.141
sbc034,6,7.630,10.399,6,KAREN;,1,(...),(...),X,Pause,"",249213,18,,,5,4,4,6,8.130,2.769,2.269
sbc034,6,7.630,10.399,6,KAREN;,2,This,This,DET,Word,"",249214,19,1,4,6,5,4,6,8.130,2.769,2.269
sbc034,6,7.630,10.399,6,KAREN;,3,is,is,AUX,Word,"",249215,20,2,3,7,6,4,6,8.130,2.769,2.269
sbc034,6,7.630,10.399,6,KAREN;,4,kinda,kinda,ADV,Word,"",249216,21,3,2,8,7,4,6,8.130,2.769,2.269
sbc034,6,7.630,10.399,6,KAREN;,5,open,open,ADJ,Word,"",249217,22,4,1,9,1,4,6,8.130,2.769,2.269
sbc034,6,7.630,10.399,6,KAREN;,6,.,.,PUNCT,EndNote,final,249218,23,,,10,2,4,6,8.130,2.769,2.269
sbc034,7,10.399,11.071,7,SCOTT;,1,(...),(...),X,Pause,"",249220,25,,,1,4,5,4,10.899,0.672,0.172
sbc034,7,10.399,11.071,7,SCOTT;,2,Yep,Yep,INTJ,Word,"",249221,26,1,1,2,1,5,4,10.899,0.672,0.172
sbc034,7,10.399,11.071,7,SCOTT;,3,.,.,PUNCT,EndNote,final,249222,27,,,3,2,5,4,10.899,0.672,0.172
sbc034,8,11.071,12.008,8,SCOTT;,1,(...),(...),X,Pause,"",249224,29,,,5,4,5,7,11.571,0.937,0.437
