wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList","inBoxList",aligned,void,stretch,replaceWord
1,0,0,170.00,0,...,"{}","{}",1,0,0, 
2,1,1,270.00,0,God,"{}","{}",1,0,0, 
3,2,2,370.00,0,",","{}","{}",1,0,0, 
4,0,0,170.00,0,I,"{}","{}",1,0,0, 
5,1,1,270.00,0,said,"{}","{}",1,0,0, 
6,2,2,370.00,0,I,"{}","{}",1,0,0, 
7,3,3,470.00,0,wasn't,"{}","{}",1,0,0, 
8,4,4,570.00,0,gonna,"{}","{}",1,0,0, 
9,5,5,670.00,0,do,"{}","{}",1,0,0, 
10,6,6,770.00,0,this,"{}","{}",1,0,0, 
11,7,7,870.00,0,anymore,"{}","{}",1,0,0, 
12,8,8,970.00,0,.,"{}","{}",1,0,0, 
13,0,0,170.00,0,...,"{}","{}",1,0,0, 
14,1,1,270.00,0,Stay,"{}","{}",1,0,0, 
15,2,2,370.00,0,up,"{}","{}",1,0,0, 
16,3,3,470.00,0,late,"{}","{}",1,0,0, 
17,4,4,570.00,0,.,"{}","{}",1,0,0, 
18,0,0,170.00,0,...,"{}","{}",1,0,0, 
19,1,1,270.00,0,Kinda,"{}","{}",1,0,0, 
20,2,2,370.00,0,defeats,"{}","{}",1,0,0, 
21,3,3,470.00,0,the,"{}","{}",1,0,0, 
22,4,4,570.00,0,purpose,"{}","{}",1,0,0, 
23,5,5,670.00,0,of,"{}","{}",1,0,0, 
24,6,6,770.00,0,getting,"{}","{}",1,0,0, 
25,7,7,870.00,0,up,"{}","{}",1,0,0, 
26,8,8,970.00,0,in,"{}","{}",1,0,0, 
27,9,9,1070.00,0,the,"{}","{}",1,0,0, 
28,10,10,1170.00,0,morning,"{}","{}",1,0,0, 
29,11,11,1270.00,0,.,"{}","{}",1,0,0, 
30,0,0,170.00,0,...,"{}","{}",1,0,0, 
31,1,1,270.00,0,I,"{}","{}",1,0,0, 
32,2,2,370.00,0,know,"{}","{}",1,0,0, 
33,3,3,470.00,0,.,"{}","{}",1,0,0, 
34,0,0,170.00,0,..,"{}","{}",1,0,0, 
35,1,1,270.00,0,And,"{}","{}",1,0,0, 
36,2,2,370.00,0,it's,"{}","{}",1,0,0, 
37,3,3,470.00,0,a,"{}","{}",1,0,0, 
38,4,4,570.00,0,hard,"{}","{}",1,0,0, 
39,5,5,670.00,0,habit,"{}","{}",1,0,0, 
40,6,6,770.00,0,to,"{}","{}",1,0,0, 
41,7,7,870.00,0,break:,"{}","{}",1,0,0, 
42,8,8,970.00,0,.,"{}","{}",1,0,0, 
43,0,0,170.00,0,[Usually,"{}","{}",1,0,0, 
44,1,1,270.00,0,|I,"{}","{}",1,0,0, 
45,2,2,370.00,0,|don't],"{}","{}",1,0,0, 
46,3,3,470.00,0,--,"{}","{}",1,0,0, 
47,0,0,170.00,0,[It,"{}","{}",1,0,0, 
48,1,1,270.00,0,|i:s],"{}","{}",1,0,0, 
49,2,2,370.00,0,.,"{}","{}",1,0,0, 
50,0,0,170.00,0,s-,"{}","{}",1,0,0, 
51,1,1,270.00,0,Usually,"{}","{}",1,0,0, 
52,2,2,370.00,0,I,"{}","{}",1,0,0, 
53,3,3,470.00,0,don't,"{}","{}",1,0,0, 
54,4,4,570.00,0,stay,"{}","{}",1,0,0, 
55,5,5,670.00,0,up,"{}","{}",1,0,0, 
56,6,6,770.00,0,late,"{}","{}",1,0,0, 
57,7,7,870.00,0,.,"{}","{}",1,0,0, 
58,0,0,170.00,0,...,"{}","{}",1,0,0, 
59,1,1,270.00,0,But,"{}","{}",1,0,0, 
60,2,2,370.00,0,it's,"{}","{}",1,0,0, 
61,3,3,470.00,0,like,"{}","{}",1,0,0, 
62,4,4,570.00,0,",","{}","{}",1,0,0, 
63,0,0,170.00,0,if,"{}","{}",1,0,0, 
64,1,1,270.00,0,I'm,"{}","{}",1,0,0, 
65,2,2,370.00,0,up,"{}","{}",1,0,0, 
66,3,3,470.00,0,after,"{}","{}",1,0,0, 
67,4,4,570.00,0,midnight,"{}","{}",1,0,0, 
68,5,5,670.00,0,?,"{}","{}",1,0,0, 
69,0,0,170.00,0,@,"{}","{}",1,0,0, 
70,1,1,270.00,0,..,"{}","{}",1,0,0, 
