chainID,chainState,"wordList",name,color,inFilter,align,tiltSum
2,0,"{4263, 4269, 4274, 4287}",Rez 1,16711680,0,1,0
3,0,"{4266, 4270, 4277, 4288}",Rez 2,255,0,1,0
5,0,"{4265, 4271, 4276}",Rez 4,8388736,0,1,4
6,0,"{4267, 4272, 4278, 4289}",Rez 5,32896,0,1,4
7,0,"{4268, 4273, 4286, 4297, 4311}",Rez 6,4235519,0,1,20
8,0,"{4285, 4292, 4308}",Rez 7,16711935,0,1,0
9,0,"{4293, 4309}",Rez 8,8421376,0,1,0
10,0,"{4294, 4295, 4296, 4310}",Rez 9,16711680,0,1,2
11,0,"{4282, 4291, 4307}",Rez 10,255,0,1,0
12,0,"{4279, 4290, 4305}",Rez 11,32768,0,1,0
13,0,"{4281, 4318, 4319}",Rez 12,8388736,0,1,0
